Date,Users,New Users
"Mar 13, 2022",70,57
"Mar 14, 2022",94,60
"Mar 15, 2022",110,74
"Mar 16, 2022",86,65
"Mar 17, 2022",90,68
"Mar 18, 2022",62,45
"Mar 19, 2022",53,33
"Mar 20, 2022",59,42
"Mar 21, 2022",62,45
"Mar 22, 2022",73,58
"Mar 23, 2022",79,66
"Mar 24, 2022",75,60
"Mar 25, 2022",63,46
"Mar 26, 2022",53,40
"Mar 27, 2022",81,62
"Mar 28, 2022",74,56
"Mar 29, 2022",106,84
"Mar 30, 2022",96,75
"Mar 31, 2022",58,39
"Apr 1, 2022",71,56
"Apr 2, 2022",65,49
"Apr 3, 2022",69,56
"Apr 4, 2022",96,72
"Apr 5, 2022",83,55
"Apr 6, 2022",86,66
"Apr 7, 2022",80,64
"Apr 8, 2022",79,65
"Apr 9, 2022",69,59
"Apr 10, 2022",49,34
"Apr 11, 2022",91,66
"Apr 12, 2022",94,73
"Apr 13, 2022",95,68
"Apr 14, 2022",74,52
"Apr 15, 2022",85,55
"Apr 16, 2022",64,45
"Apr 17, 2022",68,51
"Apr 18, 2022",84,55
"Apr 19, 2022",97,71
"Apr 20, 2022",81,57
"Apr 21, 2022",76,54
"Apr 22, 2022",93,68
"Apr 23, 2022",78,61
"Apr 24, 2022",59,47
"Apr 25, 2022",63,41
"Apr 26, 2022",78,53
"Apr 27, 2022",70,49
"Apr 28, 2022",104,78
"Apr 29, 2022",106,86
"Apr 30, 2022",62,46
"May 1, 2022",51,40
"May 2, 2022",80,53
"May 3, 2022",102,68
"May 4, 2022",100,71
"May 5, 2022",70,44
"May 6, 2022",105,78
"May 7, 2022",75,53
"May 8, 2022",45,31
"May 9, 2022",89,70
"May 10, 2022",89,62
"May 11, 2022",70,41
"May 12, 2022",93,70
"May 13, 2022",105,74
"May 14, 2022",69,48
"May 15, 2022",68,50
"May 16, 2022",95,62
"May 17, 2022",92,71
"May 18, 2022",65,47
"May 19, 2022",79,56
"May 20, 2022",85,53
"May 21, 2022",75,58
"May 22, 2022",61,44
"May 23, 2022",79,52
"May 24, 2022",87,61
"May 25, 2022",84,61
"May 26, 2022",86,63
"May 27, 2022",72,47
"May 28, 2022",52,34
"May 29, 2022",75,65
"May 30, 2022",111,79
"May 31, 2022",92,76
"Jun 1, 2022",72,53
"Jun 2, 2022",73,57
"Jun 3, 2022",29,17
"Jun 4, 2022",67,55
"Jun 5, 2022",36,27
"Jun 6, 2022",92,70
"Jun 7, 2022",103,76
"Jun 8, 2022",95,69
"Jun 9, 2022",105,84
"Jun 10, 2022",89,63
"Jun 11, 2022",61,48
"Jun 12, 2022",58,44
"Jun 13, 2022",74,58
"Jun 14, 2022",74,50
"Jun 15, 2022",96,65
"Jun 16, 2022",93,66
"Jun 17, 2022",89,61
"Jun 18, 2022",57,38
"Jun 19, 2022",48,35
"Jun 20, 2022",89,64
"Jun 21, 2022",79,56
"Jun 22, 2022",72,54
"Jun 23, 2022",82,51
"Jun 24, 2022",54,41
"Jun 25, 2022",49,31
"Jun 26, 2022",64,50
"Jun 27, 2022",93,66
"Jun 28, 2022",104,80
"Jun 29, 2022",67,49
"Jun 30, 2022",90,63
"Jul 1, 2022",65,37
"Jul 2, 2022",75,60
"Jul 3, 2022",46,34
"Jul 4, 2022",81,52
"Jul 5, 2022",91,74
"Jul 6, 2022",85,62
"Jul 7, 2022",80,61
"Jul 8, 2022",72,47
"Jul 9, 2022",51,33
"Jul 10, 2022",49,35
"Jul 11, 2022",65,52
"Jul 12, 2022",79,61
"Jul 13, 2022",72,53
"Jul 14, 2022",93,69
"Jul 15, 2022",63,41
"Jul 16, 2022",54,42
"Jul 17, 2022",56,48
"Jul 18, 2022",88,70
