Date,Users
"Mar 13, 2022",70
"Mar 14, 2022",94
"Mar 15, 2022",110
"Mar 16, 2022",86
"Mar 17, 2022",90
"Mar 18, 2022",62
"Mar 19, 2022",53
"Mar 20, 2022",59
"Mar 21, 2022",62
"Mar 22, 2022",73
"Mar 23, 2022",79
"Mar 24, 2022",75
"Mar 25, 2022",63
"Mar 26, 2022",53
"Mar 27, 2022",81
"Mar 28, 2022",74
"Mar 29, 2022",106
"Mar 30, 2022",96
"Mar 31, 2022",58
"Apr 1, 2022",71
"Apr 2, 2022",65
"Apr 3, 2022",69
"Apr 4, 2022",96
"Apr 5, 2022",83
"Apr 6, 2022",86
"Apr 7, 2022",80
"Apr 8, 2022",79
"Apr 9, 2022",69
"Apr 10, 2022",49
"Apr 11, 2022",91
"Apr 12, 2022",94
"Apr 13, 2022",95
"Apr 14, 2022",74
"Apr 15, 2022",85
"Apr 16, 2022",64
"Apr 17, 2022",68
"Apr 18, 2022",84
"Apr 19, 2022",97
"Apr 20, 2022",81
"Apr 21, 2022",76
"Apr 22, 2022",93
"Apr 23, 2022",78
"Apr 24, 2022",59
"Apr 25, 2022",63
"Apr 26, 2022",78
"Apr 27, 2022",70
"Apr 28, 2022",104
"Apr 29, 2022",106
"Apr 30, 2022",62
"May 1, 2022",51
"May 2, 2022",80
"May 3, 2022",102
"May 4, 2022",100
"May 5, 2022",70
"May 6, 2022",105
"May 7, 2022",75
"May 8, 2022",45
"May 9, 2022",89
"May 10, 2022",89
"May 11, 2022",70
"May 12, 2022",93
"May 13, 2022",105
"May 14, 2022",69
"May 15, 2022",68
"May 16, 2022",95
"May 17, 2022",92
"May 18, 2022",65
"May 19, 2022",79
"May 20, 2022",85
"May 21, 2022",75
"May 22, 2022",61
"May 23, 2022",79
"May 24, 2022",87
"May 25, 2022",84
"May 26, 2022",86
"May 27, 2022",72
"May 28, 2022",52
"May 29, 2022",75
"May 30, 2022",111
"May 31, 2022",92
"Jun 1, 2022",72
"Jun 2, 2022",73
"Jun 3, 2022",29
"Jun 4, 2022",67
"Jun 5, 2022",36
"Jun 6, 2022",92
"Jun 7, 2022",103
"Jun 8, 2022",95
"Jun 9, 2022",105
"Jun 10, 2022",89
"Jun 11, 2022",61
"Jun 12, 2022",58
"Jun 13, 2022",74
"Jun 14, 2022",74
"Jun 15, 2022",96
"Jun 16, 2022",93
"Jun 17, 2022",89
"Jun 18, 2022",57
"Jun 19, 2022",48
"Jun 20, 2022",89
"Jun 21, 2022",79
"Jun 22, 2022",72
"Jun 23, 2022",82
"Jun 24, 2022",54
"Jun 25, 2022",49
"Jun 26, 2022",64
"Jun 27, 2022",93
"Jun 28, 2022",104
"Jun 29, 2022",67
"Jun 30, 2022",90
"Jul 1, 2022",65
"Jul 2, 2022",75
"Jul 3, 2022",46
"Jul 4, 2022",81
"Jul 5, 2022",91
"Jul 6, 2022",85
"Jul 7, 2022",80
"Jul 8, 2022",72
"Jul 9, 2022",51
"Jul 10, 2022",49
"Jul 11, 2022",65
"Jul 12, 2022",79
"Jul 13, 2022",72
"Jul 14, 2022",93
"Jul 15, 2022",63
"Jul 16, 2022",54
"Jul 17, 2022",56
"Jul 18, 2022",88
"Jul 19, 2022",87
"Jul 20, 2022",76
"Jul 21, 2022",85
"Jul 22, 2022",64
"Jul 23, 2022",54
"Jul 24, 2022",48
"Jul 25, 2022",77
"Jul 26, 2022",90
"Jul 27, 2022",94
"Jul 28, 2022",73
"Jul 29, 2022",124
"Jul 30, 2022",101
"Jul 31, 2022",52
"Aug 1, 2022",108
"Aug 2, 2022",135
"Aug 3, 2022",132
"Aug 4, 2022",94
"Aug 5, 2022",82
"Aug 6, 2022",56
"Aug 7, 2022",71
"Aug 8, 2022",83
"Aug 9, 2022",82
"Aug 10, 2022",88
"Aug 11, 2022",73
"Aug 12, 2022",69
"Aug 13, 2022",56
"Aug 14, 2022",48
"Aug 15, 2022",50
"Aug 16, 2022",73
"Aug 17, 2022",108
"Aug 18, 2022",118
"Aug 19, 2022",77
"Aug 20, 2022",63
"Aug 21, 2022",73
"Aug 22, 2022",97
"Aug 23, 2022",98
"Aug 24, 2022",92
"Aug 25, 2022",72
"Aug 26, 2022",88
"Aug 27, 2022",65
"Aug 28, 2022",81
"Aug 29, 2022",99
"Aug 30, 2022",90
"Aug 31, 2022",81
"Sep 1, 2022",84
"Sep 2, 2022",99
"Sep 3, 2022",77
"Sep 4, 2022",81
"Sep 5, 2022",101
"Sep 6, 2022",99
"Sep 7, 2022",97
"Sep 8, 2022",91
"Sep 9, 2022",82
"Sep 10, 2022",68
"Sep 11, 2022",58
"Sep 12, 2022",73
"Sep 13, 2022",85
"Sep 14, 2022",94
"Sep 15, 2022",98
"Sep 16, 2022",86
"Sep 17, 2022",68
"Sep 18, 2022",64
